id	name	flavor	rarity	model_year	value	cargo_capacity	stealth	drivetrain	starter_eligible	market_eligible	make	model	trim	body_style	transmission	curb_weight_lbs	cargo_volume_cu_ft	fuel_capacity_gal	engine_layout	displacement_liters	aspiration	fuel	horsepower	horsepower_rpm	torque_lb_ft	torque_rpm
honda_civic_1998_dx_sedan	1998 Honda Civic DX Sedan	The sensible choice, which is exactly why it works. Cheap, anonymous, and light enough to slip through city traffic without announcing that something expensive and illegal is happening in the trunk.	Common	1998	1200	2	8	Fwd	true	true	Honda	Civic	DX Sedan	4-door sedan	5-speed manual	2339	11.9	11.9	inline-4	1.6	naturally aspirated	gasoline	106	6200	103	4600
volvo_v70_1999_turbo_awd	1999 Volvo V70 Turbo AWD	A Swedish wardrobe with a turbocharger and a suspicious amount of grip. Carries more than it should, looks like family transport, and develops a heroic sense of purpose when the weather turns dreadful.	Uncommon	1999	2200	5	5	Awd	true	true	Volvo	V70	Turbo AWD Wagon	4-door wagon	4-speed automatic	3754	37.2	17.9	inline-5	2.4	turbocharged	gasoline	190	5100	199	1800
volkswagen_golf_1983_gti_mk1	1983 Volkswagen Golf GTI Mk1	The original hot hatch: light, angry, and about as subtle as a brick through a jewelry-store window. Not fast by modern standards, but on tight city streets it moves like it knows every alley personally.	Common	1983	2400	2	6	Fwd	true	true	Volkswagen	Golf	GTI Mk1	2-door hatchback	5-speed manual	1850	8.0	10.6	inline-4	1.8	naturally aspirated	gasoline	90	5500	105	3250
volkswagen_golf_2018_sportwagen_mk75	2018 Volkswagen Golf SportWagen Mk7.5	Looks like it belongs to an accountant with excellent tires. That is precisely the point. Plenty of room, modern manners, and just enough pace to leave trouble looking for a plate number it never quite saw.	Uncommon	2018	12500	5	7	Awd	false	true	Volkswagen	Golf	SportWagen 4Motion Mk7.5	4-door wagon	6-speed manual	3402	30.4	14.5	inline-4	1.8	turbocharged	gasoline	170	4500	199	1600
bmw_e30_1988_m3	1988 BMW E30 M3	A homologation special with cheekbones. Brilliant through corners, expensive to repair, and absolutely wasted on people who use words like investment. Take it on the wrong job and every cop in the district will remember it.	Rare	1988	42000	2	3	Rwd	false	true	BMW	3 Series	M3 E30	2-door coupe	5-speed manual	2735	11.0	14.5	inline-4	2.3	naturally aspirated	gasoline	192	6750	170	4750
mercedes_190e_1986_23_16	1986 Mercedes-Benz 190E 2.3-16	A compact Mercedes that went to finishing school, learned knife fighting, and came home with a body kit. Durable, precise, and suspiciously composed when the road stops behaving.	Rare	1986	18500	3	5	Rwd	false	true	Mercedes-Benz	190E	2.3-16	4-door sedan	5-speed manual	2866	14.5	14.5	inline-4	2.3	naturally aspirated	gasoline	167	5800	162	4750
mercedes_s123_1984_300td	1984 Mercedes-Benz S123 300TD	A diesel wagon built when Mercedes still believed doors should close like bank vaults. Slow, vast, and magnificently stubborn. Ideal when the cargo is heavy, the route is ugly, and arriving eventually still counts.	Uncommon	1984	8500	6	6	Rwd	false	true	Mercedes-Benz	S123	300TD Turbodiesel	5-door wagon	4-speed automatic	3770	40.0	21.1	inline-5	3.0	turbocharged	diesel	123	4350	184	2400
volvo_240_1985_turbo_wagon	1985 Volvo 240 Turbo Wagon	A refrigerator with boost. Nobody looks twice until it is already gone, trailing square-edged dignity and mild tire smoke. Carries cargo, takes punishment, and refuses to explain itself.	Uncommon	1985	7200	5	6	Rwd	false	true	Volvo	240	Turbo Wagon	5-door wagon	4-speed manual	3150	38.8	15.8	inline-4	2.1	turbocharged	gasoline	162	5500	181	3500
saab_900_1988_turbo_spg	1988 Saab 900 Turbo SPG	Built by people who thought sideways, driven by people who prefer not to be followed. Odd, quick, and strangely loyal, like a getaway plan written in Swedish on a napkin.	Uncommon	1988	9800	3	7	Fwd	false	true	Saab	900	Turbo SPG	3-door hatchback	5-speed manual	2880	23.0	18.0	inline-4	2.0	turbocharged	gasoline	160	5500	188	3000
lancia_delta_1992_hf_integrale	1992 Lancia Delta HF Integrale	Small, furious, and blessed with the sort of all-wheel-drive confidence that gets men arrested in mountain towns. Brilliant when it works. Expensive when it remembers it is Italian.	Rare	1992	38000	2	4	Awd	false	true	Lancia	Delta	HF Integrale Evoluzione	5-door hatchback	5-speed manual	2866	9.2	12.7	inline-4	2.0	turbocharged	gasoline	210	5750	220	3500
mercedes_w124_1991_300te	1991 Mercedes-Benz W124 300TE	The respectable answer to a disreputable question. Big enough for cargo, strong enough for bad roads, and plain enough to pass a checkpoint as long as nobody asks why it smells like diesel and fear.	Uncommon	1991	7600	5	6	Rwd	false	true	Mercedes-Benz	W124	300TE	5-door wagon	4-speed automatic	3748	34.9	18.5	inline-6	3.0	naturally aspirated	gasoline	177	5700	188	4400
mitsubishi_galant_1991_vr4	1991 Mitsubishi Galant VR-4	A quiet sedan with rally hardware and poor impulse control. Perfect for wet roads, loose surfaces, and anyone who thinks understated should still include a turbocharger.	Uncommon	1991	14500	3	6	Awd	false	true	Mitsubishi	Galant	VR-4	4-door sedan	5-speed manual	3153	14.0	16.4	inline-4	2.0	turbocharged	gasoline	195	6000	203	3000
